38	10000	2616250
38	10000	2640842
38	10000	2640842
38	10000	2640842
38	10000	2640948
38	10000	2641584
38	10000	2562614
39	10000	2613292
39	10000	2613292
39	10000	2613292
39	10000	2613292
39	10000	2613504
38	10000	2455236
39	10000	2559338
39	10000	2558384
39	10000	2556158
39	10000	2556582
39	10000	2557324
38	10000	2303232
39	10000	2449734
39	10000	2447402
39	10000	2448356
39	10000	2448250
39	10000	2449204
38	10000	2261256
39	10000	2297942
39	10000	2268898
40	10000	2247708
45	10000	2238112
47	10000	2232408
38	10000	2253624
46	10000	2165406
40	10000	2167360
49	10000	2149854
50	10000	2140642
50	10000	2139900
47	10000	2223610
46	10000	2149294
50	10000	2140112
50	10000	2139900
50	10000	2139900
50	10000	2139900
49	10000	2213772
50	10000	2144564
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
49	10000	2140314
50	10000	2143928
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
49	10000	2140314
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
50	10000	2139900
