32	10000	2641630
33	10000	2641534
35	10000	2641236
38	10000	2640842
4214	10000	1602780
6482	10000	1032920
7654	10000	736922
8272	10000	579756
33	10000	2614080
34	10000	2613984
36	10000	2613686
39	10000	2613292
4275	10000	1570000
6557	10000	1003460
7761	10000	703648
8390	10000	545850
33	10000	2556946
34	10000	2556850
36	10000	2556552
39	10000	2556158
4371	10000	1510752
6677	10000	953144
7888	10000	659550
8524	10000	504684
33	10000	2449356
34	10000	2449260
36	10000	2448962
39	10000	2448356
4446	10000	1431896
6821	10000	882398
8046	10000	599438
8687	10000	451194
34	10000	2248814
35	10000	2248718
37	10000	2248314
40	10000	2247708
4506	10000	1311550
6920	10000	801132
8189	10000	532604
8886	10000	383330
43	10000	2151066
44	10000	2150864
46	10000	2150460
49	10000	2149854
4521	10000	1244284
6947	10000	753702
8242	10000	491688
8965	10000	345536
44	10000	2141112
45	10000	2140910
47	10000	2140506
50	10000	2139900
4525	10000	1235950
6954	10000	745292
8252	10000	483096
8975	10000	337050
44	10000	2141112
45	10000	2140910
47	10000	2140506
50	10000	2139900
4525	10000	1235950
6954	10000	745292
8252	10000	483096
8975	10000	337050
44	10000	2141112
45	10000	2140910
47	10000	2140506
50	10000	2139900
4525	10000	1235950
6954	10000	745292
8252	10000	483096
8975	10000	337050
44	10000	2141112
45	10000	2140910
47	10000	2140506
50	10000	2139900
4525	10000	1235950
6954	10000	745292
8252	10000	483096
8975	10000	337050
44	10000	2141112
45	10000	2140910
47	10000	2140506
50	10000	2139900
4525	10000	1235950
6954	10000	745292
8252	10000	483096
8975	10000	337050
