Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 2048, 1, 16, 512, 1e+39, 1e+39, 1.33686e-302, 1.90274e-304, 2.08601e-300, -3.70006e+276, 0, -2.35974e+272, -2.39003e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -3.13396e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.48177e+267, 0.734018, 0.282409, 0, 0, 0, 2.05143e-305, -inf, 1.69742e-304, -3.70006e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.35974e+275, -3.64022e+276, -3.62348e+276, -nan, 3.81252e-304, 1.90274e-304, -3.15463e+276, -3.70533e+267, -3.64022e+267, -1.47022e+267, 50, 10, 10, 3.58305e-41
65, 2048, 1, 32, 512, 0.619469, 0.248144, 0.121754, 0.0759912, 0.177471, 0.121754, 0.309734, 0, 0, 0.0150035, 0.0169786, 60.4627, 0, -nan, 0, 0.0314309, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 31.1721, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0462766, 0.0346741, 0.318161, 0.856298, 0, 1, 576, 0.0067582, 0.0346741, 0.0303058, 0.00484432, 0, 0, 0, 21.2125, 1.60354, 201.992, 50, 10, 10, 0.87555
65, 2048, 1, 32, 512, 0.619469, 0.248144, 0.121754, 0.0759912, 0.177471, 0.121754, 0.309734, 0, 0, 0.0150035, 0.0169786, 60.4627, 0, -nan, 0, 0.0314309, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 31.1721, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0462766, 0.0346741, 0.318161, 0.856298, 0, 1, 576, 0.0067582, 0.0346741, 0.0303058, 0.00484432, 0, 0, 0, 21.2125, 1.60354, 201.992, 50, 10, 10, 0.87555
65, 4096, 1, 1, 512, 0.481356, 0.424587, 0.176525, 0.176525, 0.178353, 0.12453, 0.481356, 0, 0, 0.0457802, 0.0445007, 107.823, 3.29623, 3.29623, 0, 0.40684, 2, 4, 1, 1, 1, 2, 2, 4, 1, 1, 2, 1, 5.3176, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0447279, 0.0358331, 0.25914, 0.528208, 0, 2, 1152, 0.00403979, 0.0356132, 0.0310506, 0.00500628, 0, 0, 0, 3.47596, 1.27043, 67.3104, 50, 10, 10, 1.23079
65, 4096, 1, 2, 512, 0.983246, 0.431205, 0.267444, 0.267444, 0.184972, 0.21747, 0.479543, 0, 0, 0.110804, 0.108196, 256.963, 6.72235, 6.72235, 0, 0.577784, 4, 2, 1, 2, 2, 1, 2, 4, 0.5, 1, 1, 1, 3.74434, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.109663, 0.0951573, 0.452129, 0.721198, 3.60951, 1, 1152, 0.00525874, 0.0622867, 0.0577241, 0.00996888, 0, 0, 0, 2.83286, 1.04979, 79.865, 50, 10, 10, 0.579339
65, 4096, 1, 4, 512, 1e+39, 1e+39, 1.33686e-302, 1.90271e-304, 2.08601e-300, -2.78109e+276, 0, -1.78539e+272, -1.81567e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.21499e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5628e+267, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 2.0512e-305, -inf, 1.69738e-304, -2.78109e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.78539e+275, -2.72125e+276, -2.70451e+276, -nan, 3.8125e-304, 1.90271e-304, -2.23566e+276, -2.78636e+267, -2.72125e+267, -1.02128e+267, 50, 10, 10, 4.6014e-41
65, 4096, 1, 8, 512, 1e+39, 1e+39, 1.33686e-302, 1.90271e-304, 2.08601e-300, -2.7166e+276, 0, -1.74508e+272, -1.77537e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.1505e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.49831e+267, 0.734018, 0.282409, 0, 0, 0, 2.05118e-305, -inf, 1.69733e-304, -2.7166e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.74508e+275, -2.65676e+276, -2.64002e+276, -nan, 3.8125e-304, 1.90271e-304, -2.17117e+276, -2.72187e+267, -2.65676e+267, -1.00516e+267, 50, 10, 10, 8.05765e-41
65, 4096, 1, 16, 512, 1e+39, 1e+39, 1.33686e-302, 1.90272e-304, 2.08601e-300, -3.02293e+276, 0, -1.93653e+272, -1.96682e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.45682e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.80463e+267, 0.734018, 0.282409, 0, 0, 0, 2.05126e-305, -inf, 1.69721e-304, -3.02293e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.93653e+275, -2.96308e+276, -2.94634e+276, -nan, 3.81251e-304, 1.90272e-304, -2.47749e+276, -3.02819e+267, -2.96308e+267, -1.13165e+267, 50, 10, 10, 4.33184e-40
65, 4096, 1, 32, 512, 1e+39, 1e+39, 1.33686e-302, 1.9027e-304, 2.08601e-300, -2.20069e+276, 0, -1.42263e+272, -1.45292e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -1.84912e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.02302e+267, 0.734018, 0.282409, 0, 0, 0, 2.05106e-305, -inf, 1.6975e-304, -2.20069e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.42264e+275, -2.14085e+276, -2.12411e+276, -nan, 3.81248e-304, 1.9027e-304, -1.85945e+276, -2.20596e+267, -2.14085e+267, -8.76179e+266, 50, 10, 10, 7.20213e-42
65, 4096, 1, 64, 512, 0.65489, 0.26352, 0.130677, 0.0771456, 0.195758, 0.130677, 0.327445, 0, 0, 0.0250304, 0.0275367, 94.9849, 0, -nan, 0, 0.0527046, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 37.1796, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0515679, 0.037991, 0.492818, 1.03096, 0, 1, 576, 0.0067582, 0.037991, 0.0318367, 0.00681875, 0, 0, 0, 20.603, 0.961175, 127.192, 50, 10, 10, 0.930328
